shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
14022875,서울특별시 서초구 사평대로 106,1,서울특별시,서초구,반포동,WESTERN,37.49885126,126.99616022,1
14030126,서울특별시 서초구 반포대로 300,1,서울특별시,서초구,잠원동,CAFE,37.50590609,127.00110401,1
14078833,서울특별시 서초구 사임당로 158,1,서울특별시,서초구,서초동,SNACK,37.49170365783629,127.02703689059436,1
14081176,서울특별시 서초구 서래로6길 17,1,서울특별시,서초구,반포동,CAFE,37.49785144,126.9993544,1
14087952,서울특별시 서초구 방배로33길 15,1,서울특별시,서초구,방배동,CAFE,37.49174087,126.98991099,1
14110456,서울특별시 서초구 동광로 10-1,1,서울특별시,서초구,방배동,CAFE,37.4907131,126.98391156,1
14129465,서울특별시 서초구 강남대로99길 10,1,서울특별시,서초구,잠원동,CAFE,37.51543308,127.0188799,1
14130002,서울특별시 서초구 서초대로 지하 294,-1,서울특별시,서초구,서초동,CAFE,37.49357442,127.01413095,1
14176473,서울특별시 서초구 언남11길 16-16,1,서울특별시,서초구,양재동,MEAT,37.47521598,127.04440649,1
14236521,서울특별시 서초구 양재동 84-3,1,서울특별시,서초구,양재동,ZZIM_TANG,37.4811597,127.04251761,1
14277338,서울특별시 서초구 양재동 12-10,-1,서울특별시,서초구,양재동,CAFE,37.484028,127.035117,1
14278094,서울특별시 서초구 잠원동 12-25,1,서울특별시,서초구,잠원동,CAFE,37.51712732,127.01876875,1
13664798,서울특별시 서초구 잠원동 40-9,1,서울특별시,서초구,잠원동,BAEKBAN,37.51079474,127.01949109,1
13684936,서울특별시 서초구 반포동 95-9,1,서울특별시,서초구,반포동,CAFE,37.49790696,126.99807673,1
13691509,서울특별시 서초구 서초중앙로 125,-1,서울특별시,서초구,서초동,CAFE,37.49299114,127.01340881,1
13726330,서울특별시 서초구 서초중앙로22길 108,1,서울특별시,서초구,서초동,CAFE,37.49437998,127.01982485,1
13732460,서울특별시 서초구 매헌로 68,1,서울특별시,서초구,양재동,MEAT,37.46693899,127.03454651,1
13747745,서울특별시 서초구 사임당로 178,1,서울특별시,서초구,서초동,CAFE,37.49221374,127.0290463,1
13768624,서울특별시 서초구 사임당로 180,1,서울특별시,서초구,서초동,SNACK,37.49257481,127.02926849,1
13771824,서울특별시 서초구 남부순환로356길 7,1,서울특별시,서초구,양재동,ZZIM_TANG,37.48460367,127.03782349,1
13773129,서울특별시 서초구 서초중앙로5길 10-7,-1,서울특별시,서초구,서초동,BAEKBAN,37.485586060794965,127.0149337599792,1
13799996,서울특별시 서초구 강남대로43길 22-1,1,서울특별시,서초구,서초동,CHICKEN,37.4874921,127.03096292,1
13803426,서울특별시 서초구 신반포로15길 29,1,서울특별시,서초구,반포동,CAFE,37.50546158,126.99468794,1
13811288,서울특별시 서초구 서초중앙로20길 17,1,서울특별시,서초구,서초동,CAFE,37.49235236,127.01504757,1
13811325,서울특별시 서초구 방배천로 11,2,서울특별시,서초구,방배동,CAFE,37.4776868,126.98221764,1
