"Latitude","Longitude","Address","건물용도명","지상층수_max","지하층수_min","주용도코드명","건물용도명_2"
37.47774265,126.9989106,"서울특별시 서초구 방배동 1030-1","아파트",15,2,NA,"아파트"
37.47148077,126.9782505,"서울특별시 관악구 남현동 602-266","공동주택",3,1,NA,"공동주택"
37.51032274,127.0290736,"서울특별시 강남구 논현동 156-15","공동주택",2,2,NA,"공동주택"
37.48982454,126.9967715,"서울특별시 서초구 방배동 881-26","아파트",12,3,"공동주택","아파트"
37.4953246,126.9884965,"서울특별시 서초구 방배동 772-13","아파트",21,0,"공동주택","아파트"
37.47304782,127.0407857,"서울특별시 서초구 양재동 247-6","공동주택",5,0,NA,"공동주택"
37.50454608,127.0537937,"서울특별시 강남구 대치동 891-26","아파트",12,4,NA,"아파트"
37.47438271,127.0423234,"서울특별시 서초구 양재동 257-8","공동주택",5,1,NA,"공동주택"
37.49410177,126.9935773,"서울특별시 서초구 방배동 1-9",NA,NA,NA,NA,NA
37.50557326,127.0271572,"서울특별시 강남구 논현동 202-10",NA,NA,NA,NA,NA
37.48327557,127.0404351,"서울특별시 서초구 양재동 7-39","아파트",6,1,NA,"아파트"
37.50201804,127.0227688,"서울특별시 서초구 서초동 1310-26",NA,NA,NA,NA,NA
37.4869441,126.9517998,"서울특별시 관악구 봉천동 1719","아파트",20,1,"공동주택","아파트"
37.49760724,127.0376765,"서울특별시 강남구 역삼동 745-3","일반음식점",4,1,NA,"일반음식점"
37.46405031,127.0276861,"서울특별시 서초구 우면동 717",NA,NA,NA,"공동주택","공동주택"
37.48554759,127.0148256,"서울특별시 서초구 서초동 1601-5",NA,NA,NA,NA,NA
37.48272522,126.9937911,"서울특별시 서초구 방배동 921-19","공동주택",5,0,NA,"공동주택"
37.47457693,127.0309077,"서울특별시 서초구 양재동 146-2",NA,NA,NA,NA,NA
37.47871436,126.9763848,"서울특별시 동작구 사당동 419-67","공동주택",5,0,NA,"공동주택"
37.50651798,127.0483775,"서울특별시 강남구 삼성동 140-4",NA,NA,NA,NA,NA
37.49154716,127.0299907,"서울특별시 서초구 서초동 1337-22","아파트",15,5,NA,"아파트"
37.50498993,127.0234353,"서울특별시 서초구 반포동 748","숙박시설",5,1,NA,"숙박시설"
37.4825622,127.0096556,"서울특별시 서초구 서초동 1483-18","아파트",14,0,"공동주택","아파트"
37.4871441,127.0113732,"서울특별시 서초구 서초동 1582-3",NA,NA,NA,"공동주택","공동주택"
37.51898812,127.0133525,"서울특별시 서초구 잠원동 161",NA,NA,NA,NA,NA
37.49088023,127.0110758,"서울특별시 서초구 서초동 1557-8",NA,NA,NA,NA,NA
37.50885021,127.0023538,"서울특별시 서초구 잠원동 74",NA,NA,NA,NA,NA
37.48518587,126.9786344,"서울특별시 동작구 사당동 141-161","공동주택",2,1,NA,"공동주택"
37.50826701,127.0058257,"서울특별시 서초구 잠원동 70","아파트",13,1,NA,"아파트"
37.46643826,126.9904117,"서울특별시 서초구 방배동 2761-7",NA,NA,NA,NA,NA
37.49629661,127.0301572,"서울특별시 강남구 역삼동 826-29","아파트",15,3,NA,"아파트"
37.47645451,126.990838,"서울특별시 서초구 방배동 562-1","아파트",9,1,"공동주택","아파트"
37.48726933,126.9989936,"서울특별시 서초구 방배동 884-21","아파트",15,0,"공동주택","아파트"
37.51345168,127.0061668,"서울특별시 서초구 잠원동 159",NA,NA,NA,NA,NA
37.48035431,127.0464062,"서울특별시 강남구 개포동 1243-9","업무시설",5,1,NA,"업무시설"
37.48413069,126.9925776,"서울특별시 서초구 방배동 929-39","공동주택",4,1,NA,"공동주택"
37.50868416,127.0354619,"서울특별시 강남구 논현동 233-17","공동주택",4,0,NA,"공동주택"
37.45649547,127.0184927,"서울특별시 서초구 우면동 773",NA,NA,NA,"공동주택","공동주택"
37.48788323,127.0370821,"서울특별시 강남구 도곡동 934-10","아파트",15,1,"공동주택","아파트"
37.44999583,126.9964394,"경기도 과천시 과천동 555-64","공동주택",3,1,NA,"공동주택"
37.47996533,127.0386847,"서울특별시 서초구 양재동 20-7","의료시설",7,1,NA,"의료시설"
37.48813081,127.0252134,"서울특별시 서초구 서초동 1757",NA,NA,NA,"공동주택","공동주택"
37.5026008,126.9943269,"서울특별시 서초구 반포동 18-2",NA,NA,NA,NA,NA
37.4814091,127.0106316,"서울특별시 서초구 서초동 1474-10","근린생활시설",4,1,NA,"근린생활시설"
37.47980745,126.9917028,"서울특별시 서초구 방배동 980-50","아파트",10,1,NA,"아파트"
37.50446812,127.0317892,"서울특별시 강남구 역삼동 612-8","공동주택",2,2,NA,"공동주택"
37.4852703,127.0234595,"서울특별시 서초구 서초동 1436-14","아파트",18,0,"공동주택","아파트"
37.4982683,127.0131587,"서울특별시 서초구 서초동 1685-3","아파트",37,6,NA,"아파트"
37.4676335,127.0425735,"서울특별시 서초구 양재동 348-6","공동주택",4,1,NA,"공동주택"
37.51215567,127.0181856,"서울특별시 서초구 잠원동 35-19",NA,NA,NA,NA,NA
37.48179748,126.984384,"서울특별시 서초구 방배동 436-22","공동주택",1,1,NA,"공동주택"
37.484548,127.0312408,"서울특별시 서초구 서초동 1365-8",NA,NA,NA,NA,NA
37.48982483,127.0124368,"서울특별시 서초구 서초동 1562-1","근린생활시설",6,1,NA,"근린생활시설"
37.4883159,127.0261178,"서울특별시 서초구 서초동 1757",NA,NA,NA,"공동주택","공동주택"
37.48249365,127.0852915,"서울특별시 강남구 일원동 735","아파트",5,1,"공동주택","아파트"
37.48413115,127.0182142,"서울특별시 서초구 서초동 1445-15",NA,NA,NA,NA,NA
37.49904627,127.0285184,"서울특별시 강남구 역삼동 819-9",NA,NA,NA,NA,NA
37.48979715,127.0177141,"서울특별시 서초구 서초동 1650","교육시설",7,0,"교육연구시설","교육시설"
37.48725932,127.0072952,"서울특별시 서초구 서초동 1508-26",NA,NA,NA,NA,NA
37.48646448,127.0335183,"서울특별시 강남구 도곡동 952","아파트",15,5,NA,"아파트"
37.47988136,127.0027435,"서울특별시 서초구 방배동 3278",NA,NA,NA,"공동주택","공동주택"
37.48676931,126.9950496,"서울특별시 서초구 방배동 899-16","아파트",15,0,"공동주택","아파트"
37.47293809,127.0230196,"서울특별시 서초구 우면동 57","아파트",15,1,"공동주택","아파트"
37.48243726,127.0383235,"서울특별시 서초구 양재동 10-56","근린생활시설",5,0,NA,"근린생활시설"
37.50090697,127.0179915,"서울특별시 서초구 반포동 1342",NA,NA,NA,"공동주택","공동주택"
37.50174012,127.0132419,"서울특별시 서초구 반포동 1341","일반상점",2,1,"공동주택","일반상점"
37.48093662,126.9932443,"서울특별시 서초구 방배동 918-7","공동주택",2,1,NA,"공동주택"
37.48696407,127.0134923,"서울특별시 서초구 서초동 1595-11",NA,NA,NA,NA,NA
37.4793073,127.007242,"서울특별시 서초구 서초동 1467-62","아파트",15,0,"공동주택","아파트"
37.50268439,127.0094367,"서울특별시 서초구 반포동 60-4","아파트",15,1,"공동주택","아파트"
37.49737928,127.000021,"서울특별시 서초구 반포동 74-4","공동주택",3,1,NA,"공동주택"
37.49032421,126.9814951,"서울특별시 동작구 사당동 72-4",NA,NA,NA,NA,NA
37.50721148,127.0005762,"서울특별시 서초구 잠원동 76-1",NA,NA,NA,NA,NA
37.45710649,127.0171039,"서울특별시 서초구 우면동 773",NA,NA,NA,"공동주택","공동주택"
37.51752089,127.0376367,"서울특별시 강남구 논현동 113",NA,NA,NA,NA,NA
37.49782289,126.9561639,"서울특별시 동작구 상도동 511","교육시설",15,0,"교육연구시설","교육시설"
37.5186796,127.0160344,"서울특별시 서초구 잠원동 50-1","아파트",28,0,NA,"아파트"
37.50310593,127.0016246,"서울특별시 서초구 반포동 18-1","아파트",32,0,"공동주택","아파트"
37.5043042,127.0544168,"서울특별시 강남구 대치동 895-3",NA,NA,NA,NA,NA
37.48415819,126.9776345,"서울특별시 동작구 사당동 155-6","근린생활시설",3,1,NA,"근린생활시설"
37.486547,127.012937,"서울특별시 서초구 서초동 1593-7","아파트",24,6,NA,"아파트"
37.4886583,127.0126035,"서울특별시 서초구 서초동 1564-15",NA,NA,NA,NA,NA
